event,gender,ageGroup,minutes,seconds,decimals
800 MTS FREE,Masculino,75-79,11,01,70
1500 MTS FREE,Masculino,75-79,21,02,80
50 MTS BACK,Masculino,75-79,00,34,45
100 MTS BACK,Masculino,75-79,01,17,17
200 MTS BACK,Masculino,75-79,02,50,25
50 MTS BRST,Masculino,75-79,00,38,12
100 MTS BRST,Masculino,75-79,01,27,47
200 MTS BRST,Masculino,75-79,03,13,93
50 MTS FLY,Masculino,75-79,00,31,75
100 MTS FLY,Masculino,75-79,01,16,87
200 MTS FLY,Masculino,75-79,03,08,54
200 MTS IM,Masculino,75-79,02,53,12
400 MTS IM,Masculino,75-79,06,34,91
